mcode,mname,returns,exempts
36140,"Ocean City, NJ",143,233
31700,"Manchester-Nashua, NH",152,230
49620,"York-Hanover, PA",128,220
31140,"Louisville/Jefferson County, KY-IN",133,212
42340,"Savannah, GA",132,212
46540,"Utica-Rome, NY",145,211
12700,"Barnstable Town, MA",155,206
21340,"El Paso, TX",123,206
28660,"Killeen-Temple, TX",96,188
38860,"Portland-South Portland, ME",147,186
48060,"Watertown-Fort Drum, NY",101,186
14500,"Boulder, CO",141,182
13820,"Birmingham-Hoover, AL",108,181
16820,"Charlottesville, VA",140,179
15540,"Burlington-South Burlington, VT",133,176
45220,"Tallahassee, FL",138,176
20100,"Dover, DE",89,172
37100,"Oxnard-Thousand Oaks-Ventura, CA",119,169
26460,"Hudson, NY",113,165
23540,"Gainesville, FL",117,163
10740,"Albuquerque, NM",104,149
11260,"Anchorage, AK",103,147
44300,"State College, PA",98,139
49180,"Winston-Salem, NC",87,138
39340,"Provo-Orem, UT",74,136
41540,"Salisbury, MD-DE",86,131
36420,"Oklahoma City, OK",91,129
42680,"Sebastian-Vero Beach, FL",86,124
17820,"Colorado Springs, CO",79,119
36580,"Oneonta, NY",72,118
25940,"Hilton Head Island-Bluffton, SC",81,117
30100,"Lebanon, NH-VT",100,117
38340,"Pittsfield, MA",82,115
39460,"Punta Gorda, FL",67,112
42200,"Santa Maria-Santa Barbara, CA",95,112
19430,"Dayton-Kettering, OH",67,98
17980,"Columbus, GA-AL",51,97
36540,"Omaha-Council Bluffs, NE-IA",72,96
10420,"Akron, OH",68,88
24340,"Grand Rapids-Kentwood, MI",61,88
30140,"Lebanon, PA",45,86
48900,"Wilmington, NC",63,85
16580,"Champaign-Urbana, IL",66,83
46140,"Tulsa, OK",53,83
12260,"Augusta-Richmond County, GA-SC",57,81
28940,"Knoxville, TN",59,72
30780,"Little Rock-North Little Rock-Conway, AR",46,71
19780,"Des Moines-West Des Moines, IA",48,70
12940,"Baton Rouge, LA",53,67
30460,"Lexington-Fayette, KY",52,67
39900,"Reno, NV",58,65
42140,"Santa Fe, NM",49,65
45780,"Toledo, OH",45,65
16860,"Chattanooga, TN-GA",29,59
28580,"Key West, FL",43,54
48700,"Williamsport, PA",40,51
14020,"Bloomington, IN",41,50
25180,"Hagerstown-Martinsburg, MD-WV",33,50
32580,"McAllen-Edinburg-Mission, TX",37,50
38460,"Plattsburgh, NY",33,49
17300,"Clarksville, TN-KY",21,47
18880,"Crestview-Fort Walton Beach-Destin, FL",38,47
29620,"Lansing-East Lansing, MI",39,46
22220,"Fayetteville-Springdale-Rogers, AR",33,45
42220,"Santa Rosa-Petaluma, CA",35,45
11700,"Asheville, NC",37,44
26620,"Huntsville, AL",27,44
33860,"Montgomery, AL",23,44
42100,"Santa Cruz-Watsonville, CA",38,44
21660,"Eugene-Springfield, OR",35,43
22660,"Fort Collins, CO",34,42
29200,"Lafayette-West Lafayette, IN",30,42
12540,"Bakersfield, CA",28,41
41500,"Salinas, CA",36,41
48620,"Wichita, KS",30,41
18180,"Concord, NH",32,39
24020,"Glens Falls, NY",26,39
42020,"San Luis Obispo-Paso Robles, CA",31,39
33660,"Mobile, AL",20,38
23420,"Fresno, CA",29,37
35100,"New Bern, NC",26,37
36500,"Olympia-Lacey-Tumwater, WA",24,37
26980,"Iowa City, IA",32,36
23060,"Fort Wayne, IN",26,35
43780,"South Bend-Mishawaka, IN-MI",28,35
14740,"Bremerton-Silverdale-Port Orchard, WA",25,33
17860,"Columbia, MO",29,33
21500,"Erie, PA",25,33
43900,"Spartanburg, SC",20,33
45700,"Tifton, GA",33,33
20780,"Edwards, CO",25,31
45540,"The Villages, FL",24,31
37860,"Pensacola-Ferry Pass-Brent, FL",20,30
26140,"Homosassa Springs, FL",19,28
44700,"Stockton, CA",21,28
11220,"Amsterdam, NY",12,27
24780,"Greenville, NC",14,27
22500,"Florence, SC",11,25
31420,"Macon-Bibb County, GA",17,25
36700,"Orangeburg, SC",11,25
10500,"Albany, GA",23,24
21300,"Elmira, NY",12,24
28020,"Kalamazoo-Portage, MI",20,23
30700,"Lincoln, NE",22,23
34900,"Napa, CA",20,22
15940,"Canton-Massillon, OH",16,21
24060,"Glenwood Springs, CO",15,21
37460,"Panama City, FL",10,21
12300,"Augusta-Waterville, ME",15,20
17780,"College Station-Bryan, TX",12,20
21820,"Fairbanks, AK",12,20
46700,"Vallejo, CA",13,20
14260,"Boise City, ID",11,19
12220,"Auburn-Opelika, AL",12,18
29180,"Lafayette, LA",14,18
30860,"Logan, UT-ID",10,18
13540,"Bennington, VT",10,17
14010,"Bloomington, IL",12,17
25060,"Gulfport-Biloxi, MS",11,17
25900,"Hilo, HI",11,17
44940,"Sumter, SC",11,17
12020,"Athens-Clarke County, GA",12,16
12740,"Barre, VT",12,16
14580,"Bozeman, MT",10,16
39060,"Pottsville, PA",11,16
46220,"Tuscaloosa, AL",13,16
49660,"Youngstown-Warren-Boardman, OH-PA",10,16
27460,"Jamestown-Dunkirk-Fredonia, NY",11,15
27980,"Kahului-Wailuku-Lahaina, HI",11,15
28300,"Keene, NH",12,15
29940,"Lawrence, KS",14,15
42700,"Sebring-Avon Park, FL",12,15
12180,"Auburn, NY",13,14
16620,"Charleston, WV",11,14
27140,"Jackson, MS",11,14
47300,"Visalia, CA",10,14
13140,"Beaumont-Port Arthur, TX",12,13
18500,"Corning, NY",11,13
18580,"Corpus Christi, TX",13,13
33700,"Modesto, CA",10,13
31180,"Lubbock, TX",10,11
30620,"Lima, OH",10,10
44060,"Spokane-Spokane Valley, WA",10,10
